#Observation Type, Mission, Instrument, Detector, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Product Type, Calibration Level, Start Time, End Time, Exposure Length, Min. Wavelength, Max. Wavelength, Observation Title, Release Date, Proposal Type, Sequence Number, Region,Focale, Format, Seeing, Moon, jpegURL, url
#@string, string, string, string, string, string, string, string, string, string, ra, dec, string, string, string, int, float, float, float, string, string, string, float, string, int, string, float, string, float, float, string, string
intentType,obs_collection,instrument_name,Detector,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,dataproduct_type,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,proposal_type,sequence_number,s_region,focale,format,Seeing,Moon,jpegURL,url
science,UT1,M603,Atik Titan,V* Star,CLS CCD,OPTICAL,v1490 Cyg,V* Star,124-14,312.7233,44.3503,,dtouzan@gmail.com,IMAGE,1,58753.79791666,58753.8395833298,180,,,Variable in cygnus,58757,,124,,1000,image/fits,4,0,,
science,UT1,M603,Atik Titan,V* Star,CLS CCD,OPTICAL,v1490 Cyg,V* Star,124-13,312.7233,44.3503,,dtouzan@gmail.com,IMAGE,1,58748.8041666601,58748.8458333299,180,,,Variable in cygnus,58757,,124,,1000,image/fits,3.5,25,,
science,UT1,M603,Atik Titan,V* Star,CLS CCD,OPTICAL,v1490 Cyg,V* Star,124-12,312.7233,44.3503,,dtouzan@gmail.com,IMAGE,1,58746.8062499999,58746.8479166598,180,,,Variable in cygnus,58757,,124,,1000,image/fits,3.8,50,,
science,UT1,M603,Atik Titan,V* Star,CLS CCD,OPTICAL,v1490 Cyg,V* Star,124-11,312.7233,44.3503,,dtouzan@gmail.com,IMAGE,1,58745.8069444401,58745.8486111098,180,,,Variable in cygnus,58757,,124,,1000,image/fits,3.8,50,,
science,UT1,M603,Atik Titan,V* Star,CLS CCD,OPTICAL,v1490 Cyg,V* Star,124-10,312.7233,44.3503,,dtouzan@gmail.com,IMAGE,1,58744.80972222,58744.85138888,180,,,Variable in cygnus,58757,,124,,1000,image/fits,4,75,,
science,UT1,M603,Atik Titan,V* Star,CLS CCD,OPTICAL,v1490 Cyg,V* Star,124-9,312.7233,44.3503,,dtouzan@gmail.com,IMAGE,1,58743.80972222,58743.85138888,180,,,Variable in cygnus,58757,,124,,1000,image/fits,4,75,,
science,UT1,M603,Atik Titan,V* Star,CLS CCD,OPTICAL,v1490 Cyg,V* Star,124-8,312.7233,44.3503,,dtouzan@gmail.com,IMAGE,1,58741.8076388798,58741.8451388799,180,,,Variable in cygnus,58757,,124,,1000,image/fits,3.8,100,,
science,UT1,M603,Atik Titan,V* Star,CLS CCD,OPTICAL,v1490 Cyg,V* Star,124-7,312.7233,44.3503,,dtouzan@gmail.com,IMAGE,1,58740.8111,58740.9222222198,180,,,Variable in cygnus,58757,,124,,1000,image/fits,3.8,100,,
science,UT1,M603,Atik Titan,V* Star,CLS CCD,OPTICAL,v1490 Cyg,V* Star,124-6,312.7233,44.3503,,dtouzan@gmail.com,IMAGE,1,58738.8284721998,58738.8680549,180,,,Variable in cygnus,58757,,124,,1000,image/fits,3.8,75,,
science,UT1,M603,Atik Titan,V* Star,CLS CCD,OPTICAL,v1490 Cyg,V* Star,124-5,312.7233,44.3503,,dtouzan@gmail.com,IMAGE,1,58736.8305549998,58736.8576388,180,,,Variable in cygnus,58757,,124,,1000,image/fits,3.5,50,,
science,UT1,M603,Atik Titan,V* Star,CLS CCD,OPTICAL,v1490 Cyg,V* Star,124-4,312.7233,44.3503,,dtouzan@gmail.com,IMAGE,1,58734.8250000001,58734.8895829999,180,,,Variable in cygnus,58757,,124,,1000,image/fits,3.5,50,,
science,UT1,M603,Atik Titan,V* Star,CLS CCD,OPTICAL,v1490 Cyg,V* Star,124-3,312.7233,44.3503,,dtouzan@gmail.com,IMAGE,1,58731.8333333302,58731.8937499998,180,,,Variable in cygnus,58757,,124,,1000,image/fits,4,25,,
science,UT1,M603,Atik Titan,V* Star,CLS CCD,OPTICAL,v1490 Cyg,V* Star,124-2,312.7233,44.3503,,dtouzan@gmail.com,IMAGE,1,58725.859722,58725.931944,180,,,Variable in cygnus,58757,,124,,1000,image/fits,5,0,,
science,UT1,M603,Atik Titan,V* Star,CLS CCD,OPTICAL,v1490 Cyg,V* Star,124-1,312.7233,44.3503,,dtouzan@gmail.com,IMAGE,1,58724.848611,58724.9215277,180,,,Variable in cygnus,58757,,124,,1000,image/fits,4,0,,
science,UT1,M603,Atik Titan,V* Star,CLS CCD,OPTICAL,v2492 Cyg,V* Star,123-3,312.85932,44.08996,,dtouzan@gmail.com,IMAGE,1,58727.840277,58727.925,7380,,,Variable in cygnus,58757,,123,,1000,image/fits,4.5,0,,
science,UT1,M603,Atik Titan,V* Star,CLS CCD,OPTICAL,v2492 Cyg,V* Star,123-2,312.85932,44.08996,,dtouzan@gmail.com,IMAGE,1,58717.85,58717.9173611,5220,,,Variable in cygnus,58757,,123,,1000,image/fits,4,0,,
science,UT1,M603,Atik Titan,V* Star,CLS CCD,OPTICAL,v2492 Cyg,V* Star,123-1,312.85932,44.08996,,dtouzan@gmail.com,IMAGE,1,58715.89375,58715.9340277,3240,,,Variable in cygnus,58757,,123,,1000,image/fits,4,0,,
science,UT1,M603,Atik Titan,Supernovae,G,OPTICAL,sn2019ein,SN,122,208.371375,40.275361,,dtouzan@gmail.com,IMAGE,1,58662.9437 ,58662.957638,1500,,,SN in NGC 5353,58690,,122,POLYGON 208.49924 40.39639 208.49924 40.14639 208.24924 40.14639 208.24924 40.39639,1000,image/fits,3.2,25,,https://drive.google.com/file/d/13uDCCz-ioBVryewS-8HB4XBKz_ypx9QX/view?usp=sharing
science,UT1,M603,Atik Titan,Supernovae,CLS CCD & G,OPTICAL,sn2019ein,SN,121,208.371375,40.275361,,dtouzan@gmail.com,IMAGE,1,58655.9263,58655.9722,4200,,,SN in NGC 5353,58690,,121,POLYGON 208.49924 40.39639 208.49924 40.14639 208.24924 40.14639 208.24924 40.39639,1000,image/fits,3.2,80,,https://drive.google.com/file/d/13uDCCz-ioBVryewS-8HB4XBKz_ypx9QX/view?usp=sharing
science,UT1,M603,Atik Titan,Supernovae,CLS CCD,OPTICAL,sn2019ein,SN,120,208.371375,40.275361,,dtouzan@gmail.com,IMAGE,1,58634.91038194444,58634.983506944445,6900,,,SN in NGC 5353,58640,,120,POLYGON 208.49924 40.39939 208.49924 40.14939 208.24924 40.14939 208.24924 40.39939,1000,image/fits,3.8,0,,https://drive.google.com/file/d/13uDCCz-ioBVryewS-8HB4XBKz_ypx9QX/view?usp=sharing
science,UT1,M603,Atik Titan,Supernovae,CLS CCD,OPTICAL,sn2019ein,SN,119,208.371375,40.275361,,dtouzan@gmail.com,IMAGE,1,58633.89711805992,58633.90758102015,1200,,,SN in NGC 5353,58640,,119,POLYGON 208.49824 40.39839 208.49824 40.14839 208.24824 40.14839 208.24824 40.39839,1000,image/fits,3.8,0,,https://drive.google.com/file/d/13uDCCz-ioBVryewS-8HB4XBKz_ypx9QX/view?usp=sharing
science,UT1,M603,Atik Titan,HII,CLS CCD & L,OPTICAL,M 101,GinPair,118,210.80227,54.34895,,dtouzan@gmail.com,IMAGE,1,58625.89236100018,58625.93819400016,4200,,,HII Region in M 101,58640,,118,POLYGON 210.96227 54.46895 210.96227 54.22895 210.64227 54.22895 210.64227 54.46895,1000,image/fits,4,100,,
science,UT1,M603,Atik Titan,HII,CLS CCD,OPTICAL,NGC 5390 / NGC 5371 ,LINER,117,208.916762,40.461769,,dtouzan@gmail.com,IMAGE,1,58624.893749999814,58624.95276999986,5400,,,HII Region in M 100,58630,,117,POLYGON 209.041962 40.586769 209.041962 40.336769 208.791962 40.336769 208.791962 40.586769,1000,image/fits,4,100,,https://twitter.com/DominiqueTouzan/status/1132006307991556097
science,UT1,M603,Atik Titan,HII,CLS CCD,OPTICAL,NGC 5390 / NGC 5371 ,LINER,116,208.916762,40.461769,,dtouzan@gmail.com,IMAGE,1,58617.893749999814,58617.9388888902,3900,,,HII Region in M 100,58630,,116,POLYGON 209.041762 40.586769 209.041762 40.336769 208.791762 40.336769 208.791762 40.586769,1000,image/fits,3.8,80,,https://twitter.com/DominiqueTouzan/status/1132006307991556097
