JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455436.35738,15.013,0.028,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.498,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.35810,15.028,0.033,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.492,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.35883,15.050,0.022,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.497,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.35956,15.017,0.026,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.514,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.36029,15.042,0.025,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.501,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.36101,15.020,0.025,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.514,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.36174,15.044,0.027,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.508,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.36245,15.060,0.031,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.506,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.36318,15.031,0.026,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.503,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.36391,15.071,0.025,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.492,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.36463,15.025,0.028,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.487,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.36536,15.052,0.025,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.494,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.36608,15.038,0.028,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.513,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.36681,15.011,0.026,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.505,,VSX J205126.1+440523,BAA-VSS,STD,,,,
